_id,CalendarId,Date,Country,Category,Event,Reference,ReferenceDate,Source,SourceURL,Previous,URL,DateSpan,Importance,LastUpdate,Unit,Ticker,Symbol,TEForecast,Forecast
646c4ccc56720ade69ead998,321704,2023-05-23T04:00:00,Thailand,Total Vehicle Sales,New Car Sales YoY,Apr,2023-04-30T00:00:00,Thailand Automotive Institute,https://www.thaiauto.or.th,-8.37%,/thailand/total-vehicle-sales,1,1,2023-04-25T04:31:14.053,%,THAILANDTOTVEHSAL,THAILANDTOTVEHSAL,,
646c4ccc56720ade69ead999,321742,2023-05-23T22:45:00,New Zealand,Retail Sales YoY,Retail Sales YoY,Q1,2023-03-31T00:00:00,Statistics New Zealand,https://www.stats.govt.nz/,-4%,/new-zealand/retail-sales-annual,0,1,2023-05-08T11:17:18.767,%,NZLRETAILSALESYOY,NZLRetailSalesYoY,-2.0%,
646c4ccc56720ade69ead99a,321743,2023-05-23T22:45:00,New Zealand,Retail Sales MoM,Retail Sales QoQ,Q1,2023-03-31T00:00:00,Statistics New Zealand,https://www.stats.govt.nz/,-0.6%,/new-zealand/retail-sales,0,1,2023-05-19T10:38:03.393,%,NZLRETAILSALESMOM,NZLRetailSalesMoM,-0.5%,
646c4ccc56720ade69ead99b,334834,2023-05-24T02:00:00,New Zealand,Interest Rate,RBNZ Interest Rate Decision,,2023-05-24T00:00:00,Reserve Bank of New Zealand,http://www.rbnz.govt.nz/,5.25%,/new-zealand/interest-rate,0,2,2023-05-21T20:01:54.07,%,NZOCRS,NZOCRS,5.5%,5.5%
646c4ccc56720ade69ead99c,334842,2023-05-24T03:00:00,New Zealand,Interest Rate,RBNZ Press Conference,,null,Reserve Bank of New Zealand,http://www.rbnz.govt.nz/,,/new-zealand/interest-rate,0,2,2023-01-19T09:52:10.723,,NZOCRS,NZOCRS,,
646c4ccc56720ade69ead99d,321788,2023-05-24T12:00:00,Mexico,Mid-month Core Inflation Rate YoY,Mid-month Core Inflation Rate YoY,May,2023-05-31T00:00:00,Instituto Nacional de Estadística y Geografía (INEGI),http://www.inegi.org.mx/,7.75%,/mexico/mid-month-core-inflation-rate-yoy,0,1,2023-05-21T20:01:54.293,%,MEXMMCIRY,MEXMMCIRY,7.5%,7.49%
646c4ccc56720ade69ead99e,321789,2023-05-24T12:00:00,Mexico,Mid-month Inflation Rate MoM,Mid-month Inflation Rate MoM,May,2023-05-31T00:00:00,Instituto Nacional de Estadística y Geografía (INEGI),http://www.inegi.org.mx/,-0.16%,/mexico/mid-month-inflation-rate-mom,0,1,2023-05-21T20:01:54.303,%,MEXMMIRM,MEXMMIRM,-0.1%,-0.19%
646c4ccc56720ade69ead99f,321790,2023-05-24T12:00:00,Mexico,Mid-month Inflation Rate YoY,Mid-month Inflation Rate YoY,May,2023-05-31T00:00:00,Instituto Nacional de Estadística y Geografía (INEGI),http://www.inegi.org.mx/,6.24%,/mexico/mid-month-inflation-rate-yoy,0,1,2023-05-21T20:01:54.283,%,MEXMMIRY,MEXMMIRY,6.1%,6.15%
646c4ccc56720ade69ead9a0,321791,2023-05-24T12:00:00,Mexico,Mid-month Core Inflation Rate MoM,Mid-month Core Inflation Rate MoM,May,2023-05-31T00:00:00,Instituto Nacional de Estadística y Geografía (INEGI),http://www.inegi.org.mx/,0.18%,/mexico/mid-month-core-inflation-rate-mom,0,1,2023-05-21T20:01:54.31,%,MEXMMCIRM,MEXMMCIRM,0.1%,0.21%
646c4ccc56720ade69ead9a1,336580,2023-05-25T06:00:00,Sweden,Employed Persons,Employed Persons,Apr,2023-04-30T00:00:00,Statistics Sweden,https://www.scb.se/,5.236M,/sweden/employed-persons,0,1,2023-05-08T11:49:37.553,M,SWEDENEMPPER,SWEDENEMPPER,5.29M,
