_id,uuid,title,publisher,link,providerPublishTime,type,thumbnail.resolutions[0].url,thumbnail.resolutions[1].url,thumbnail.resolutions[0].width,thumbnail.resolutions[1].width,thumbnail.resolutions[0].height,thumbnail.resolutions[1].height,thumbnail.resolutions[0].tag,thumbnail.resolutions[1].tag,relatedTickers[0],relatedTickers[1],relatedTickers[2],relatedTickers[3],relatedTickers[4],relatedTickers[5],relatedTickers[6],relatedTickers[7],relatedTickers[8],relatedTickers[9],relatedTickers[10],symbol
643e32443a6f5e3a8ff2aa31,b57ce921-a22d-349f-b548-0b1ad1387e9d,"Euro, dollar status should not be taken for granted -ECB's Lagarde",Reuters,https://finance.yahoo.com/news/euro-dollar-status-not-taken-151750098.html,1681744670,STORY,https://s.yimg.com/uu/api/res/1.2/XVpYPSCbfq.tnCwSKcSPwg--~B/aD01Mjk7dz04MDA7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/reuters-finance.com/63708908908672ad4f31d6afc17c57dc,https://s.yimg.com/uu/api/res/1.2/H3huwnYxIiV3ryPZtSIQcw--~B/Zmk9ZmlsbDtoPTE0MDtweW9mZj0wO3c9MTQwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/reuters-finance.com/63708908908672ad4f31d6afc17c57dc,800,140,529,140,original,140x140,USD=X,EUR=X,EURUSD=X,,,,,,,,,EURUSD=X
643e32443a6f5e3a8ff2aa32,2080b9fe-3889-34a2-b335-b5093b7faba4,EUR/USD Forecast – Euro Pulls Back,FX Empire,https://finance.yahoo.com/news/eur-usd-forecast-euro-pulls-133604666.html,1681738564,STORY,https://s.yimg.com/uu/api/res/1.2/8Xp0W4f_vyfo1Z17TF96gg--~B/aD00MTA7dz02MTU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/fx_empire_176/1f1723e648a187138389ce9f1bac3f74,https://s.yimg.com/uu/api/res/1.2/qhIyGGiiOsIHe4pLEq7vIw--~B/Zmk9ZmlsbDtoPTE0MDtweW9mZj0wO3c9MTQwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/fx_empire_176/1f1723e648a187138389ce9f1bac3f74,615,140,410,140,original,140x140,EURUSD=X,USD=X,EUR=X,EUR=X,,,,,,,,EURUSD=X
643e32443a6f5e3a8ff2aa33,7268145e-d5ef-30e7-9710-0eae98f99793,EUR/USD Weekly Forecast – Euro Starting to Get a Little Overstretched,FX Empire,https://finance.yahoo.com/news/eur-usd-weekly-forecast-euro-145059828.html,1681483859,STORY,https://s.yimg.com/uu/api/res/1.2/gZh30pIPMWePcbFixx40lQ--~B/aD00MTA7dz02MTU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/fx_empire_176/d2809cdff3c929207ff8e276736ad9f9,https://s.yimg.com/uu/api/res/1.2/CBWMwxd45rcYmxDBoXBwgA--~B/Zmk9ZmlsbDtoPTE0MDtweW9mZj0wO3c9MTQwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/fx_empire_176/d2809cdff3c929207ff8e276736ad9f9,615,140,410,140,original,140x140,EURUSD=X,USD=X,EUR=X,EUR=X,,,,,,,,EURUSD=X
643e32443a6f5e3a8ff2aa34,ea33ed12-61d7-3d65-bc6c-1b42fa2f1a7d,EUR/USD Forecast – Euro Gives Up Early Gains,FX Empire,https://finance.yahoo.com/news/eur-usd-forecast-euro-gives-133719949.html,1681479439,STORY,https://s.yimg.com/uu/api/res/1.2/CJ.hQpRjbl3gjZ2xwxCliQ--~B/aD00MTA7dz02MTU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/fx_empire_176/826ee30ecc37d033ec6e089d5a1ebbc5,https://s.yimg.com/uu/api/res/1.2/bYvJnok.kCwvlYmeqSmJMQ--~B/Zmk9ZmlsbDtoPTE0MDtweW9mZj0wO3c9MTQwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/fx_empire_176/826ee30ecc37d033ec6e089d5a1ebbc5,615,140,410,140,original,140x140,EURUSD=X,USD=X,EUR=X,EUR=X,,,,,,,,EURUSD=X
643e32443a6f5e3a8ff2aa35,1599bc34-6622-345c-947c-c58b361bb738,"GLOBAL MARKETS-Asia shares gain as Singapore stops tightening, euro climbs",Reuters,https://finance.yahoo.com/news/global-markets-asia-shares-gain-053310459.html,1681450390,STORY,,,,,,,,,GC=F,ZG=F,EUR=X,EURUSD=X,^GSPC,,,,,,,EURUSD=X
643e32443a6f5e3a8ff2aa36,34990c51-41bf-3c6a-b1f8-1a766f62d4c2,Dollar slumps to one-year low on cooling U.S. inflation,Investing.com,https://finance.yahoo.com/news/dollar-slumps-one-low-cooling-021845404.html,1681438725,STORY,,,,,,,,,GBPUSD=X,USD=X,GBP=X,AUDUSD=X,AUD=X,USD=X,EURUSD=X,USD=X,EUR=X,USD=X,,EURUSD=X
643e32443a6f5e3a8ff2aa37,af174e33-16cd-31bb-9af7-faa48d1c2da7,"FOREX-Dollar dips as producer prices cool, euro hits one-year high",Reuters,https://finance.yahoo.com/news/forex-dollar-dips-producer-prices-191739642.html,1681413459,STORY,,,,,,,,,EUR=X,EURUSD=X,,,,,,,,,,EURUSD=X
643e32443a6f5e3a8ff2aa38,c3724d06-ba97-3916-855d-363ec382e86c,Euro Surges to Strongest in a Year as Fed-Cut Bets Batter Dollar,Bloomberg,https://finance.yahoo.com/news/euro-surges-strongest-fed-cut-130434792.html,1681411021,STORY,https://s.yimg.com/uu/api/res/1.2/wwzxeLRe90wGXFkaea3uUQ--~B/aD02NzU7dz0xMjAwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/bloomberg_markets_842/0094a85420ec0a6a022bed69aeca85b2,https://s.yimg.com/uu/api/res/1.2/MxUbl.uRLnJwTbpe6Napqw--~B/Zmk9ZmlsbDtoPTE0MDtweW9mZj0wO3c9MTQwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/bloomberg_markets_842/0094a85420ec0a6a022bed69aeca85b2,1200,140,675,140,original,140x140,USD=X,EUR=X,EURUSD=X,,,,,,,,,EURUSD=X
643e32443a6f5e3a8ff2aa39,7db86bc5-c8e1-31f6-b810-0fc078668283,GBP to USD Forecast – British Pound Bounces From Support Level,FX Empire,https://finance.yahoo.com/news/gbp-usd-forecast-british-pound-134610935.html,1681739170,STORY,https://s.yimg.com/uu/api/res/1.2/PikNtPZ_pN1debX.hxd19Q--~B/aD00MTA7dz02MTU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/fx_empire_176/1968abb16cb6ac87d8e3d8d22e7bde19,https://s.yimg.com/uu/api/res/1.2/masYxaN45O_A4EdevNjIPA--~B/Zmk9ZmlsbDtoPTE0MDtweW9mZj0wO3c9MTQwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/fx_empire_176/1968abb16cb6ac87d8e3d8d22e7bde19,615,140,410,140,original,140x140,GBPUSD=X,USD=X,GBP=X,,,,,,,,,GBPUSD=X
643e32443a6f5e3a8ff2aa3a,fa6c2a11-7529-3558-98a9-f1614bb264cb,GBP to USD Weekly Forecast – British Pound Pierces the 1.25 Level,FX Empire,https://finance.yahoo.com/news/gbp-usd-weekly-forecast-british-150118677.html,1681484478,STORY,https://s.yimg.com/uu/api/res/1.2/N7zAYyA.wmbFIyUBHF33SA--~B/aD00MTA7dz02MTU7YXBwaWQ9eXRhY2h5b24-/https://media.zenfs.com/en/fx_empire_176/b6c6f8f494b9cad0f16a6b14f7c4b3d4,https://s.yimg.com/uu/api/res/1.2/9tjdpussUb73ngTjQDQmXQ--~B/Zmk9ZmlsbDtoPTE0MDtweW9mZj0wO3c9MTQwO2FwcGlkPXl0YWNoeW9u/https://media.zenfs.com/en/fx_empire_176/b6c6f8f494b9cad0f16a6b14f7c4b3d4,615,140,410,140,original,140x140,GBPUSD=X,USD=X,GBP=X,,,,,,,,,GBPUSD=X
